index,threshold,content_id
0,0.95,_
1,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-01-review-counting-1-to-10/level-02
2,0.9266666666666667,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-01-review-counting-1-to-10/level-03
3,0.9379209370424598,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-02-review-counting-1-to-20/level-01
4,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-02-review-counting-1-to-20/level-03
5,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-02
6,0.9376892430278885,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-03
7,0.9394366197183099,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-04
8,0.9414448669201522,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-06
9,0.9080131723380901,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-07
10,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-01
11,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-02
12,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-03
13,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-04
14,0.939877300613497,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-05
15,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-06
16,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-07
17,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-08
18,0.9327044025157233,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-09
19,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-test
20,0.9304615384615385,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-02
21,0.9404682274247492,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-03
22,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-04
23,0.9236749116607774,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-05
24,0.8329519450800916,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-06
25,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-07
26,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-08
27,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-09
28,0.9133501259445844,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-10
29,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-test
30,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-01
31,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-02
32,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-03
33,0.9036350677120457,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-04
34,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-05
35,0.95,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-06
36,0.9465437788018434,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-test
37,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-01
38,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-02
39,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-03
40,0.9428120063191154,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-04
41,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-05
42,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-06
43,0.9,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-07
44,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-08
45,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-test
46,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-01
47,0.9323353293413175,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-02
48,0.9052631578947369,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-03
49,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-04
50,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-05
51,0.8266666666666667,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-06
52,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-07
53,0.9400000000000001,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-08
54,0.9430463576158941,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-09
55,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-02-subtract-within-10/level-test
56,0.9196374622356496,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-01
57,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-02
58,0.9220611916264091,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-03
59,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-04
60,0.9379844961240311,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-05
61,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-06
62,0.9227436823104693,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-07
63,0.95,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-03-add-within-20/level-08
