index,threshold,content_id
0,0,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-01-review-counting-1-to-10/level-02
1,1,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-01-review-counting-1-to-10/level-03
2,2,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-02-review-counting-1-to-20/level-01
3,3,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-02-review-counting-1-to-20/level-03
4,4,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-02
5,5,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-03
6,6,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-04
7,7,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-06
8,8,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-03-counting-1-to-120/level-07
9,9,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-01
10,10,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-02
11,11,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-03
12,12,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-04
13,13,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-05
14,14,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-06
15,15,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-07
16,16,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-08
17,17,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-09
18,18,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-04-counting-by-tens/level-test
19,19,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-02
20,20,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-03
21,21,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-04
22,22,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-05
23,23,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-06
24,24,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-07
25,25,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-08
26,26,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-09
27,27,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-10
28,28,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-05-counting-by-fives/level-test
29,29,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-01
30,30,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-02
31,31,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-03
32,32,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-04
33,33,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-05
34,34,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-06
35,35,Anton:/../c-mat-1-us/topic-01-numbers-and-counting/block-06-review-number-words/level-test
36,36,Anton:/../c-mat-1-us/topic-02-add-and-subtract-within-20/block-01-add-within-10/level-01
